java.sql.Timestamp,java.sql.Timestamp,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Short,java.lang.String,java.lang.String,java.lang.String,java.lang.Long,java.lang.Long,java.lang.Double,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Double
StartDate,EndDate,ServiceType,Provider,Consumer,PeerConsumer,Period,ServiceLocation,ConsumerLocation,PeerConsumerLocation,DEVICE,QOS,PROTOCOL,SOURCE,DESTINATION,SrcBytes,BILLABLE_BYTES,Empty,GroupId,BillingRecordTypeId,IsVolatile,Amount
2005/09/14-12:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.176","10.199.43.255",55221,55221,0.0,18000003,300,0,552.21
2005/09/14-10:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.189","10.199.43.255",59423,59423,0.0,18000003,300,0,594.23
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.196","10.199.43.255",59652,59652,0.0,18000003,300,0,596.52
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.197","10.199.43.255",11443,11443,0.0,18000003,300,0,114.43
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.201","10.199.43.255",161099,161099,0.0,18000003,300,0,1610.99
2005/09/14-12:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.206","10.199.43.255",10298,10298,0.0,18000003,300,0,102.98
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.208","10.199.43.255",10281,10281,0.0,18000003,300,0,102.81
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.209","10.199.43.255",199299,199299,0.0,18000003,300,0,1992.99
2005/09/14-11:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.216","10.199.43.255",12561,12561,0.0,18000003,300,0,125.61
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.219","10.199.43.255",35043,35043,0.0,18000003,300,0,350.43
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.220","10.199.43.255",160163,160163,0.0,18000003,300,0,1601.63
2005/09/14-10:30:00,2005/09/14-19:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.227","10.199.43.255",10288,10288,0.0,18000003,300,0,102.88
2005/09/14-11:30:00,2005/09/14-15:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.229","10.199.43.255",4344,4344,0.0,18000003,300,0,43.44
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.238","10.199.43.255",33118,33118,0.0,18000003,300,0,331.18
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.240","10.199.43.255",41508,41508,0.0,18000003,300,0,415.08
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.3","10.199.43.255",30090,30090,0.0,18000003,300,0,300.9
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.4","10.199.43.255",3318513,3318513,0.0,18000003,300,0,33185.13
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.5","10.199.43.255",29835,29835,0.0,18000003,300,0,298.35
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.6","10.199.43.255",45107,45107,0.0,18000003,300,0,451.07
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.65","10.199.43.255",27848,27848,0.0,18000003,300,0,278.48
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.86","10.199.43.255",28150,28150,0.0,18000003,300,0,281.5
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.9","10.199.43.255",47473,47473,0.0,18000003,300,0,474.73
2005/09/14-13:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.91","10.199.43.255",9611,9611,0.0,18000003,300,0,96.11
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.0","10.199.43.255",27251,27251,0.0,18000003,300,0,272.51
2005/09/14-16:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.117","10.199.43.255",4573,4573,0.0,18000003,300,0,45.73
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.119","10.199.43.255",13310,13310,0.0,18000003,300,0,133.1
2005/09/14-11:30:00,2005/09/14-19:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.135","10.199.43.255",13823,13823,0.0,18000003,300,0,138.23
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.137","10.199.43.255",27480,27480,0.0,18000003,300,0,274.8
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.138","10.199.43.255",10746,10746,0.0,18000003,300,0,107.46
2005/09/14-12:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.144","10.199.43.255",57790,57790,0.0,18000003,300,0,577.9
2005/09/14-12:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.251","10.199.43.255",10069,10069,0.0,18000003,300,0,100.69
2005/09/14-10:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.27","10.199.43.255",11667,11667,0.0,18000003,300,0,116.67
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.42.30","10.199.43.255",11214,11214,0.0,18000003,300,0,112.14
